year,month,day,close,volume,start,high,low
2018,8,3,"83,300","1,928,574","84,000","84,100","83,100"
2018,8,2,"83,200","3,373,964","85,000","85,600","82,900"
2018,8,1,"85,600","2,265,008","85,900","86,400","85,100"
2018,7,31,"86,300","2,804,543","85,200","86,300","84,500"
2018,7,30,"85,900","2,301,941","86,200","86,400","85,100"
2018,7,27,"86,100","4,943,923","83,700","86,400","83,100"
2018,7,26,"83,100","6,218,102","81,300","83,800","78,600"
2018,7,25,"80,500","4,154,596","83,400","84,000","80,200"
2018,7,24,"83,600","4,023,740","82,500","83,800","81,700"
2018,7,23,"81,700","7,076,375","86,300","86,400","81,200"
2018,7,20,"87,900","3,726,334","89,700","90,000","87,200"
2018,7,19,"90,300","2,383,489","90,400","91,200","90,300"
2018,7,18,"89,300","1,937,496","89,700","91,000","89,100"
2018,7,17,"88,600","1,570,129","90,100","90,200","88,500"
2018,7,16,"89,300","1,896,459","88,700","89,300","87,800"
2018,7,13,"88,800","4,535,954","86,500","90,100","86,500"
2018,7,12,"85,600","3,032,951","86,800","87,000","85,400"
2018,7,11,"86,800","2,037,358","86,500","87,600","85,900"
2018,7,10,"87,300","2,002,682","88,400","88,600","86,700"
2018,7,9,"87,600","2,127,205","85,300","87,600","85,300"
2018,7,6,"85,300","3,482,186","86,200","86,200","83,600"
2018,7,5,"86,200","2,059,342","85,000","87,300","85,000"
2018,7,4,"85,000","2,744,382","87,800","87,800","84,400"
2018,7,3,"86,100","2,817,592","85,000","86,500","84,500"
2018,7,2,"83,700","2,033,542","85,000","86,000","83,400"
2018,6,29,"85,700","3,003,603","83,500","85,700","83,400"
2018,6,28,"83,500","3,838,303","83,000","84,000","82,500"
2018,6,27,"85,200","3,798,356","85,700","86,400","85,200"
2018,6,26,"84,300","5,518,522","82,500","84,800","82,400"
2018,6,25,"84,800","4,420,542","88,800","88,800","84,600"
2018,6,22,"89,500","2,569,978","87,300","89,500","86,700"
2018,6,21,"88,500","3,274,612","88,900","89,300","87,500"
2018,6,20,"87,800","4,183,210","85,800","88,100","85,000"
2018,6,19,"84,100","3,824,878","84,100","86,100","83,700"
2018,6,18,"84,000","4,723,914","86,800","86,900","82,300"
2018,6,15,"87,000","2,945,006","87,400","87,800","86,100"
2018,6,14,"86,300","4,646,948","88,300","88,300","86,300"
2018,6,12,"88,400","1,876,012","89,900","90,100","88,200"
2018,6,11,"89,200","2,535,933","88,800","90,200","88,100"
2018,6,8,"88,400","4,579,508","91,000","91,000","87,600"
2018,6,7,"90,900","2,754,947","92,700","92,700","90,600"
2018,6,5,"91,000","2,758,383","89,800","91,300","89,800"
2018,6,4,"89,800","3,141,036","91,000","92,400","89,700"
2018,6,1,"91,400","4,790,644","90,800","92,200","89,600"
2018,5,31,"93,400","5,996,671","94,500","94,700","92,800"
2018,5,30,"95,000","3,808,299","94,800","95,700","92,800"
2018,5,29,"94,800","2,733,549","94,600","96,100","93,500"
2018,5,28,"94,500","2,505,786","94,600","95,600","93,700"
