년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-03-12,"67,700","1,100","2,753,535","187,094,466,500","67,700","68,600","67,500","49,285,760","728,002,365"
2019-03-11,"66,600",-100,"2,869,008","192,102,682,500","67,000","67,800","66,200","48,484,958","728,002,365"
2019-03-08,"66,700","-1,400","3,571,792","238,709,879,100","67,900","68,200","66,200","48,557,758","728,002,365"
2019-03-07,"68,100",0,"3,402,570","231,244,259,500","67,200","68,900","67,100","49,576,961","728,002,365"
2019-03-06,"68,100","-1,600","4,958,303","337,546,057,000","68,500","69,600","67,400","49,576,961","728,002,365"
2019-03-05,"69,700",-400,"3,465,521","239,905,751,100","68,300","70,000","68,300","50,741,765","728,002,365"
2019-03-04,"70,100",100,"4,931,703","347,613,698,900","70,300","71,400","69,900","51,032,966","728,002,365"
2019-02-28,"70,000","-3,700","7,869,451","555,872,886,528","72,500","72,600","69,900","50,960,166","728,002,365"
2019-02-27,"73,700","-1,500","2,864,044","212,669,839,200","75,300","75,700","73,700","53,653,774","728,002,365"
2019-02-26,"75,200",-200,"2,483,512","186,162,296,000","75,000","75,900","74,100","54,745,778","728,002,365"
2019-02-25,"75,400","-1,300","2,865,712","217,057,499,100","77,300","77,600","74,800","54,891,378","728,002,365"
2019-02-22,"76,700",0,"1,882,653","142,868,940,800","75,600","76,700","75,300","55,837,781","728,002,365"
2019-02-21,"76,700","1,000","2,874,589","219,185,131,100","75,300","77,200","74,600","55,837,781","728,002,365"
2019-02-20,"75,700","2,000","3,134,257","235,673,827,900","73,700","76,000","73,600","55,109,779","728,002,365"
2019-02-19,"73,700","-1,000","1,462,071","108,018,207,300","74,500","74,800","73,000","53,653,774","728,002,365"
2019-02-18,"74,700",900,"1,772,434","132,308,894,800","74,300","75,300","74,000","54,381,777","728,002,365"
2019-02-15,"73,800","-3,600","4,154,616","310,263,028,540","76,800","76,900","73,800","53,726,575","728,002,365"
2019-02-14,"77,400","1,200","2,313,376","177,069,899,400","75,800","77,400","75,100","56,347,383","728,002,365"
2019-02-13,"76,200",300,"2,378,193","182,321,407,022","77,300","77,600","76,100","55,473,780","728,002,365"
2019-02-12,"75,900","1,800","3,526,701","266,900,281,990","74,100","76,400","73,900","55,255,380","728,002,365"
2019-02-11,"74,100",600,"3,374,192","247,056,156,200","73,000","74,100","72,200","53,944,975","728,002,365"
2019-02-08,"73,500","-3,200","4,012,485","296,341,813,700","75,200","75,500","73,000","53,508,174","728,002,365"
2019-02-07,"76,700",800,"4,249,110","328,992,180,800","77,500","78,200","76,600","55,837,781","728,002,365"
2019-02-01,"75,900","2,000","3,349,965","253,945,506,700","75,400","76,400","74,700","55,255,380","728,002,365"
2019-01-31,"73,900","-2,000","4,447,535","333,396,826,950","76,900","77,100","73,700","53,799,375","728,002,365"
2019-01-30,"75,900","2,500","5,304,841","398,381,201,236","73,500","76,300","73,000","55,255,380","728,002,365"
2019-01-29,"73,400","1,600","3,368,642","243,423,241,200","71,400","73,800","71,000","53,435,374","728,002,365"
2019-01-28,"71,800","-2,800","4,972,189","363,934,670,100","74,700","74,900","71,200","52,270,570","728,002,365"
2019-01-25,"74,600","4,100","7,163,871","523,277,130,986","71,600","74,800","71,100","54,308,976","728,002,365"
2019-01-24,"70,500","3,700","6,914,092","478,710,394,200","66,900","70,500","66,900","51,324,167","728,002,365"
2019-01-23,"66,800",200,"2,825,017","187,011,687,600","65,500","67,200","64,800","48,630,558","728,002,365"
2019-01-22,"66,600",-400,"4,047,917","269,605,437,400","67,900","68,000","65,700","48,484,958","728,002,365"
2019-01-21,"67,000","2,400","3,977,425","262,811,234,700","65,900","67,400","65,000","48,776,158","728,002,365"
2019-01-18,"64,600",-300,"2,263,599","145,715,624,650","65,000","65,700","63,900","47,028,953","728,002,365"
2019-01-17,"64,900",100,"2,830,122","184,779,231,112","65,500","66,200","64,600","47,247,353","728,002,365"
2019-01-16,"64,800",800,"2,478,497","158,653,260,800","63,800","64,900","62,700","47,174,553","728,002,365"
2019-01-15,"64,000","1,900","2,413,868","152,553,529,100","62,200","64,000","62,200","46,592,151","728,002,365"
2019-01-14,"62,100","-3,000","3,282,892","206,235,691,400","64,300","65,100","62,000","45,208,947","728,002,365"
2019-01-11,"65,100",-200,"2,890,639","187,777,388,200","65,400","65,900","64,200","47,392,954","728,002,365"
2019-01-10,"65,300","1,700","6,034,432","392,382,253,980","64,100","65,600","64,000","47,538,554","728,002,365"
2019-01-09,"63,600","4,400","4,928,656","306,756,728,900","59,600","63,800","59,400","46,300,950","728,002,365"
2019-01-08,"59,200",500,"3,062,192","182,102,629,700","57,900","60,500","57,600","43,097,740","728,002,365"
2019-01-07,"58,700",400,"2,273,750","134,044,079,900","59,000","59,700","58,400","42,733,739","728,002,365"
2019-01-04,"58,300",600,"3,388,087","195,335,719,400","57,500","58,500","56,700","42,442,538","728,002,365"
2019-01-03,"57,700","-2,900","3,337,621","195,003,280,600","60,200","60,300","57,500","42,005,736","728,002,365"
2019-01-02,"60,600",100,"1,934,295","117,458,798,300","61,300","61,400","60,000","44,116,943","728,002,365"
